date,open,high,low,close,diff,sma10,vol,it,de,fi,wma10,CCI14,RSI 9,k_value,d_value,R
2012/1/2,75,75.4,74.7,75,-0.8,75.2,14934,-331,482,2633,75.41,31.12,50.36,74.9,77.59,-25
2012/1/3,75.5,75.9,75.2,75.7,0.7,75.49,21188,-130,484,11515,75.5,57.72,56.3,78.82,78,-7.5
2012/1/4,76.1,76.1,75.5,75.8,0.1,75.47,34104,-473,-126,1053,75.56,61.04,57.13,79.21,78.4,-7.32
2012/1/5,76,76,75.3,76,0.2,75.57,28048,-1417,953,8459,75.66,50.56,58.88,83.76,80.19,-2.44
2012/1/6,75.9,75.9,74.9,75.6,-0.4,75.59,29881,-2651,295,-7226,75.66,20.48,53.93,77.27,79.22,-12.2
2012/1/9,75.2,75.6,74.6,75.6,0,75.65,27632,-3705,270,-2413,75.66,-10.94,53.93,73.74,77.39,-25
2012/1/10,76,76.5,75.8,76.5,0.9,75.75,56468,-1788,-298,30952,75.82,72.76,62.82,82.49,79.09,0
2012/1/11,76.8,77,76.1,76.5,0,75.83,41133,-1720,76,7787,75.95,82.17,62.82,81.38,79.85,-20.83
2012/1/12,76.7,77.1,76.5,77,0.5,75.95,55402,-2605,206,22192,76.17,96.97,67.26,86.25,81.99,-4
2012/1/13,77.2,78,77,77.5,0.5,76.12,57326,-1377,191,30769,76.45,123.21,71.14,85.93,83.3,-14.71
2012/1/16,76.1,76.9,74.6,75.3,-2.2,76.15,37685,-3956,-144,-13406,76.3,-21.8,44.84,64.15,76.92,-79.41
2012/1/17,75.9,75.9,74.9,75.6,0.3,76.14,43624,-8045,590,269,76.2,-34.33,47.8,52.57,68.8,-70.59
2012/1/18,75.9,76.7,75.6,76.7,1.1,76.23,56933,-7346,345,16658,76.3,35.88,57.26,55.64,64.41,-38.24
2012/1/30,78,79.5,77.2,78.7,2,76.5,134487,-3227,543,42727,76.75,184.81,68.82,64.98,64.6,-16.33
2012/1/31,78.1,78.5,76.3,78.5,-0.2,76.79,84154,-1818,-520,6517,77.11,105.52,66.79,69.85,66.35,-20.41
2012/2/1,77.5,77.7,76.7,77,-1.5,76.93,46197,-6581,-1578,-4024,77.15,52.06,53.47,62.89,65.2,-51.02
2012/2/2,77.5,77.5,76.1,76.8,-0.2,76.96,54042,-6385,-935,3715,77.13,22.78,51.91,56.9,62.43,-55.1
